origin,lat_origin,lon_origin,formatted_origin,destination,lat_destination,lon_destination,formatted_destination,country
BUD,47.4336,19.2365,"Budapest Liszt Ferenc International Airport, Vecsés, 4, 2220, Hungary",Budapest-Kelenföld,47.4642992,19.0206155,"Budapest-Kelenföld, Budapest, Etele tér 5-7, 1115, Hungary",Hungary
Budapest-Keleti,47.500412,19.08398,"Budapest Keleti Station, Budapest, Baross tér 1, 1087, Hungary",Budapest-Nyugati,47.5107203,19.0574804,"Budapest-Nyugati, Budapest, Nyugati aluljáró, 1062, Hungary",Hungary
Budapest-Keleti,47.500412,19.08398,"Budapest Keleti Station, Budapest, Baross tér 1, 1087, Hungary",Budapest-Déli,47.4994789,19.0248757,"Budapest-Déli, Budapest, Alkotás utca, 1012, Hungary",Hungary
Budapest-Keleti,47.500412,19.08398,"Budapest Keleti Station, Budapest, Baross tér 1, 1087, Hungary",Budapest-Kelenföld,47.4642992,19.0206155,"Budapest-Kelenföld, Budapest, Etele tér 5-7, 1115, Hungary",Hungary
Budapest-Nyugati,47.5107203,19.0574804,"Budapest-Nyugati, Budapest, Nyugati aluljáró, 1062, Hungary",Budapest-Kelenföld,47.4642992,19.0206155,"Budapest-Kelenföld, Budapest, Etele tér 5-7, 1115, Hungary",Hungary
Budapest-Déli,47.4994789,19.0248757,"Budapest-Déli, Budapest, Alkotás utca, 1012, Hungary",Budapest-Kelenföld,47.4642992,19.0206155,"Budapest-Kelenföld, Budapest, Etele tér 5-7, 1115, Hungary",Hungary
Sopron,47.6803063,16.5983457,"Sopron, GS, Hungary",Nagycenk,47.6034133,16.6977433,"Nagycenk, GS, Hungary",Hungary
Vac,47.7782873,19.1278294,"Vác, PE, Hungary",Szob,47.8164,18.8761,"Szob, PE, Hungary",Hungary
Györ,47.684,17.6338,"Győr Homoksor, Gyor, Szkíta utca, 9011, Hungary",Györszentivan,47.666551,17.783968,"Bőny, Hungary",Hungary
Györszentivan,47.666551,17.783968,"Bőny, Hungary",Nagyszentjanos,47.7144,17.8723,"Nagyszentjános, GS, Hungary",Hungary
Hegyeshalom,47.9144882,17.1558011,"Hegyeshalom, GS, Hungary",Mosonmagyarovar,47.8731793,17.2722342,"Mosonmagyaróvár, GS, Hungary",Hungary
Mosonmagyarovar,47.8731793,17.2722342,"Mosonmagyaróvár, GS, Hungary",Kimle-Karolyhaza,47.80407,17.34267,"Kimle KSE, Kimle, Fő út, 9181, Hungary",Hungary
Kimle-Karolyhaza,47.80407,17.34267,"Kimle KSE, Kimle, Fő út, 9181, Hungary",Lébény-Mosonszentmiklos,47.75659,17.42421,"Lébény Kertészet, 9154, Hungary",Hungary
Lébény-Mosonszentmiklos,47.75659,17.42421,"Lébény Kertészet, 9154, Hungary",Györ,47.684,17.6338,"Győr Homoksor, Gyor, Szkíta utca, 9011, Hungary",Hungary
Tatabanya,47.583845,18.3979855,"Tatabánya, KE, Hungary",Szar,47.4787964,18.5185002,"Szár, FE, Hungary",Hungary
Szar,47.4787964,18.5185002,"Szár, FE, Hungary",Bicske,47.495,18.6322,"Bicske, FE, Hungary",Hungary
Nyiregyhaza,47.9557802,21.7167982,"Nyíregyháza, SZ, Hungary",Kisvarda,48.2217,22.0772,"Kisvárda, SZ, Hungary",Hungary
Bekescsaba,46.6798003,21.0985425,"Békéscsaba, BE, Hungary",Ketegyhaza,46.5455442,21.1856277,"Kétegyháza, BE, Hungary",Hungary
MXP,45.6301,8.7255,"Milan-Malpensa International Airport, 21019 Somma Lombardo VA, Italy",Milano Centrale,45.4858786,9.2042617,"Milano Centrale, Piazza Duca d'Aosta, 20124 Milan MI, Italy",Italy
MXP,45.6301,8.7255,"Milan-Malpensa International Airport, 21019 Somma Lombardo VA, Italy",Milano Nord Cadorna,45.4684048,9.175523,"Milano Cadorna, Piazzale Luigi Cadorna, 20123 Milan MI, Italy",Italy
MXP,45.6301,8.7255,"Milan-Malpensa International Airport, 21019 Somma Lombardo VA, Italy",Milano Porta Garibaldi,45.4845605,9.1873439,"Milano Porta Garibaldi railway station, Piazza Sigmund Freud, 20100 Milan MI, Italy",Italy
LIN,45.4613,9.281,"Linate Airport, Tangenziale Est, 20059 Milan MI, Italy",Milano Centrale,45.4858786,9.2042617,"Milano Centrale, Piazza Duca d'Aosta, 20124 Milan MI, Italy",Italy
BGY,45.6689,9.7004,"Aeroporto Militare Antonio Locatelli, 24068 Paderno BG, Italy",Milano Centrale,45.4858786,9.2042617,"Milano Centrale, Piazza Duca d'Aosta, 20124 Milan MI, Italy",Italy
FCO,41.8003,12.2389,"Amazon FCO 2, Colleferro RM, Italy",Roma Termini,41.9005815,12.5025272,"Rome, Galleria Termini, 00185 Rome RM, Italy",Italy
FCO,41.8003,12.2389,"Amazon FCO 2, Colleferro RM, Italy",Roma Tiburtina,41.91119,12.5315602,"Roma Tiburtina, Circonvallazione della Stazione Tiburtina, 00162 Rome RM, Italy",Italy
CIA,41.79954695,12.591271133206927,"Rome Ciampino Airport, Via Giovanni XXIII, 00043 Ciampino RM, Italy",Roma Termini,41.9005815,12.5025272,"Rome, Galleria Termini, 00185 Rome RM, Italy",Italy
VCE,45.5053,12.3518,"Venice Marco Polo Airport, 30012 Venice VE, Italy",Venezia Mestre,45.482462,12.2317016,"Venezia Mestre, Piazzale Pietro Favretti, 1, 30171 Venice VE, Italy",Italy
VCE,45.5053,12.3518,"Venice Marco Polo Airport, 30012 Venice VE, Italy",Venezia Santa Lucia,45.4410753,12.3210322,"Venezia Santa Lucia, Fondamenta Santa Lucia, 30121 Venice VE, Italy",Italy
TSF,45.647975,12.194465,"Treviso Airport, 31100 Treviso TV, Italy",Treviso Centrale,45.6600557,12.2452188,"Treviso Centrale, Piazzale Duca d'Aosta, 31100 Treviso TV, Italy",Italy
TSF,45.647975,12.194465,"Treviso Airport, 31100 Treviso TV, Italy",Venezia Mestre,45.482462,12.2317016,"Venezia Mestre, Piazzale Pietro Favretti, 1, 30171 Venice VE, Italy",Italy
BLQ,44.535,11.2886,"BLQ Skatepark, 40012 Lippo BO, Italy",Bologna Centrale,44.5059335,11.3403927,"Bologna Centrale, Piazzale Ovest, 40121 Bologna BO, Italy",Italy
VRN,45.39717245,10.885895928972548,"Verona Villafranca Airport, Via Aeroporto, 1, 37066 Villafranca di Verona VR, Italy",Verona Porta Nuova,45.429182,10.9823706,"Verona Porta Nuova, Piazzale Venticinque Aprile, 37122 Verona VR, Italy",Italy
TRN,45.197829,7.648729,"Turin Airport, 10077 Caselle Torinese TO, Italy",Torino Porta Susa,45.0715765,7.6658551,"Torino Porta Susa, Corso Inghilterra, 10140 Turin TO, Italy",Italy
Milano Centrale,45.4858786,9.2042617,"Milano Centrale, Piazza Duca d'Aosta, 20124 Milan MI, Italy",Milano Porta Garibaldi,45.4845605,9.1873439,"Milano Porta Garibaldi railway station, Piazza Sigmund Freud, 20100 Milan MI, Italy",Italy
Milano Centrale,45.4858786,9.2042617,"Milano Centrale, Piazza Duca d'Aosta, 20124 Milan MI, Italy",Milano Nord Cadorna,45.4684048,9.175523,"Milano Cadorna, Piazzale Luigi Cadorna, 20123 Milan MI, Italy",Italy
Milano Centrale,45.4858786,9.2042617,"Milano Centrale, Piazza Duca d'Aosta, 20124 Milan MI, Italy",Milano Lambrate,45.4854753,9.2376864,"Milano Lambrate, Sottopassaggio Centrale, 20134 Milan MI, Italy",Italy
Roma Termini,41.9005815,12.5025272,"Rome, Galleria Termini, 00185 Rome RM, Italy",Roma Tiburtina,41.91119,12.5315602,"Roma Tiburtina, Circonvallazione della Stazione Tiburtina, 00162 Rome RM, Italy",Italy
Venezia Mestre,45.482462,12.2317016,"Venezia Mestre, Piazzale Pietro Favretti, 1, 30171 Venice VE, Italy",Venezia Santa Lucia,45.4410753,12.3210322,"Venezia Santa Lucia, Fondamenta Santa Lucia, 30121 Venice VE, Italy",Italy
Como S. Giovanni,45.8090266,9.0727772,"Como San Giovanni, Piazzale San Gottardo, 22100 Como CO, Italy",Como Nord Camerlata,45.817948,9.0832882,"Como, Via Torno, 22100 Como CO, Italy",Italy
Levanto,44.1699056,9.6120397,"Levanto, SP, Italy",Monterosso,45.3653424,11.7624377,"Monterosso (Abano Terme), PD, Italy",Italy
Domodossola,46.1152451,8.2920459,"Domodossola, VB, Italy",Iselle di Trasquera,46.2043654,8.19337212099156,"Cimitero di Iselle, 28868 Trasquera VB, Italy",Italy
Bolzano/Bozen,46.4984781,11.3547399,"Bolzano - Bozen, BZ, Italy",Brennero/Brenner,45.01922515,7.648145681086365,"Carrozzeria Brennero, Via Michele Kerbaker, 10127 Turin TO, Italy",Italy
Bologna Centrale,44.5059335,11.3403927,"Bologna Centrale, Piazzale Ovest, 40121 Bologna BO, Italy",Ferrara,44.8372737,11.6186451,"44121-44124 Ferrara FE, Italy",Italy
Verona Porta Nuova,45.429182,10.9823706,"Verona Porta Nuova, Piazzale Venticinque Aprile, 37122 Verona VR, Italy",Peschiera del Garda,45.4389454,10.6920171,"Peschiera del Garda, VR, Italy",Italy
Schaanwald Zollamt,47.2176544,9.5690725,"Schaanwald Zollamt, Vorarlberger-Strasse, 9486 Schaanwald, Liechtenstein",Nendeln,47.1973842,9.5430689,"Nendeln, Liechtenstein",Liechtenstein
Nendeln,47.1973842,9.5430689,"Nendeln, Liechtenstein",Schaan-Vaduz,47.168219,9.513044,"Friedhof Schaan, 9494 Schaan, Liechtenstein",Liechtenstein
Schaan-Vaduz,47.168219,9.513044,"Friedhof Schaan, 9494 Schaan, Liechtenstein",Triesen Säga,47.106109,9.530253,"Friedhof Triesen, 9495 Triesen, Liechtenstein",Liechtenstein
AMS,52.32698005,4.74150530038293,"Amsterdam Airport Schiphol, 1171 VM Badhoevedorp, Netherlands",Schiphol (Airport),52.3058439,4.754118198437629,"Schiphol, Energiestraat, 1118 CK Schiphol, Netherlands",Netherlands
AMS,52.32698005,4.74150530038293,"Amsterdam Airport Schiphol, 1171 VM Badhoevedorp, Netherlands",Amsterdam Centraal,52.37233395,4.914231749531422,"Amsterdam, Prins Hendrikkade, 1018 AA Amsterdam, Netherlands",Netherlands
AMS,52.32698005,4.74150530038293,"Amsterdam Airport Schiphol, 1171 VM Badhoevedorp, Netherlands",Amsterdam Zuid,52.3388074,4.873191,"Amsterdam Zuid, Zuidplein 10, 1077 XV Amsterdam, Netherlands",Netherlands
RTM,51.784138,3.872205,"RTM Ouddorp, 3253 MD Ouddorp, Netherlands",Rotterdam Centraal,51.9433308,4.1278005,"Rotterdam, Luxemburgweg, 3198 LN Rotterdam, Netherlands",Netherlands
EIN,51.45190135,5.374880299362334,"Eindhoven Airport, Welschappad, 5657 AD Eindhoven, Netherlands",Eindhoven Centraal,51.4429623,5.4795265,"Eindhoven Centraal, Kennedyplein 202, 5611 ZT Eindhoven, Netherlands",Netherlands
MST,52.215214,6.890534,"Parkeergarage MST, 7512 BA Enschede, Netherlands",Maastricht,50.8512438,5.6909768,"Maastricht, LI, Netherlands",Netherlands
MST,52.215214,6.890534,"Parkeergarage MST, 7512 BA Enschede, Netherlands",Meerssen,50.90470915,5.735207828646779,"Meerssen, LI, Netherlands",Netherlands
Amsterdam Centraal,52.37233395,4.914231749531422,"Amsterdam, Prins Hendrikkade, 1018 AA Amsterdam, Netherlands",Amsterdam Centraal Eurostar,52.37233395,4.914231749531422,"Amsterdam, Prins Hendrikkade, 1018 AA Amsterdam, Netherlands",Netherlands
Amsterdam Centraal,52.37233395,4.914231749531422,"Amsterdam, Prins Hendrikkade, 1018 AA Amsterdam, Netherlands",Utrecht Centraal,53.2020069,5.800345000274763,"Utrecht, Tweebaksmarkt, 8911 KX Leeuwarden, Netherlands",Netherlands
Amsterdam Centraal,52.37233395,4.914231749531422,"Amsterdam, Prins Hendrikkade, 1018 AA Amsterdam, Netherlands",Rotterdam Centraal,51.9433308,4.1278005,"Rotterdam, Luxemburgweg, 3198 LN Rotterdam, Netherlands",Netherlands
Rotterdam Centraal,51.9433308,4.1278005,"Rotterdam, Luxemburgweg, 3198 LN Rotterdam, Netherlands",Rotterdam Centraal Eurostar,51.9433308,4.1278005,"Rotterdam, Luxemburgweg, 3198 LN Rotterdam, Netherlands",Netherlands
Rotterdam Centraal,51.9433308,4.1278005,"Rotterdam, Luxemburgweg, 3198 LN Rotterdam, Netherlands",Breda,51.5887845,4.7760237,"Breda, NB, Netherlands",Netherlands
Utrecht Centraal,53.2020069,5.800345000274763,"Utrecht, Tweebaksmarkt, 8911 KX Leeuwarden, Netherlands",Schiphol (Airport),52.3058439,4.754118198437629,"Schiphol, Energiestraat, 1118 CK Schiphol, Netherlands",Netherlands
Utrecht Centraal,53.2020069,5.800345000274763,"Utrecht, Tweebaksmarkt, 8911 KX Leeuwarden, Netherlands",Amersfoort Centraal,52.153898,5.3740976,"Amersfoort Centraal, Stationshal, 3818 LE Amersfoort, Netherlands",Netherlands
Utrecht Centraal,53.2020069,5.800345000274763,"Utrecht, Tweebaksmarkt, 8911 KX Leeuwarden, Netherlands",Arnhem Centraal,51.9844332,5.9011598,"Arnhem Centraal, Renssenstraat 17, 6811 MC Arnhem, Netherlands",Netherlands
Utrecht Centraal,53.2020069,5.800345000274763,"Utrecht, Tweebaksmarkt, 8911 KX Leeuwarden, Netherlands",Driebergen-Zeist,52.0652455,5.2602392,"Driebergen-Zeist, Stationsplein, 3972 KZ Driebergen-Rijsenburg, Netherlands",Netherlands
Breda,51.5887845,4.7760237,"Breda, NB, Netherlands",Tilburg,51.5562404,5.0886014,"Tilburg, NB, Netherlands",Netherlands
Tilburg,51.5562404,5.0886014,"Tilburg, NB, Netherlands",Eindhoven Centraal,51.4429623,5.4795265,"Eindhoven Centraal, Kennedyplein 202, 5611 ZT Eindhoven, Netherlands",Netherlands
Arnhem Centraal,51.9844332,5.9011598,"Arnhem Centraal, Renssenstraat 17, 6811 MC Arnhem, Netherlands","Nijmegen Centraal Station (Bus), Niederlande",51.787793,5.744956,"Bus 99: Uden Busstation => Nijmegen Centraal Station, Verspreide huizen Lunen, Alverna, Wijchen, Netherlands",Netherlands
Arnhem Centraal,51.9844332,5.9011598,"Arnhem Centraal, Renssenstraat 17, 6811 MC Arnhem, Netherlands",Zevenaar,51.9279081,6.077526279085048,"Zevenaar, GE, Netherlands",Netherlands
"Nijmegen Centraal Station (Bus), Niederlande",51.787793,5.744956,"Bus 99: Uden Busstation => Nijmegen Centraal Station, Verspreide huizen Lunen, Alverna, Wijchen, Netherlands","Ubbergen Beek Sportpark, Niederlande",51.581644,4.793207,"Sportpark, Breda, NB, Netherlands",Netherlands
Hengelo,52.2658726,6.7924049,"Hengelo, OV, Netherlands",Oldenzaal,52.3116616,6.9241615,"Oldenzaal, OV, Netherlands",Netherlands
Maastricht,50.8512438,5.6909768,"Maastricht, LI, Netherlands",Sittard,50.992006,5.866375,"Sittard, Sittard-Geleen, Netherlands",Netherlands
Maastricht,50.8512438,5.6909768,"Maastricht, LI, Netherlands",Valkenburg(NL),50.8647531,5.8312518,"Valkenburg, LI, Netherlands",Netherlands
Maastricht,50.8512438,5.6909768,"Maastricht, LI, Netherlands",Eijsden,50.7782686,5.7075337,"Eijsden, LI, Netherlands",Netherlands
Sittard,50.992006,5.866375,"Sittard, Sittard-Geleen, Netherlands",Schinnen,50.9425257,5.8861938,"Schinnen, LI, Netherlands",Netherlands
Schinnen,50.9425257,5.8861938,"Schinnen, LI, Netherlands",Nuth,50.9171887,5.8838254,"Nuth, LI, Netherlands",Netherlands
Apeldoorn,52.2156457,5.9639485,"Apeldoorn, GE, Netherlands",Deventer,52.26948965,6.236488628052996,"Deventer, OV, Netherlands",Netherlands
Apeldoorn,52.2156457,5.9639485,"Apeldoorn, GE, Netherlands",Amersfoort Centraal,52.153898,5.3740976,"Amersfoort Centraal, Stationshal, 3818 LE Amersfoort, Netherlands",Netherlands
OSL,60.194965,11.090201,"Oslo Airport, Gardermoen, 2032 Nordre Børke, Norway",Oslo S,59.910902,10.750636,"Old Oslo Central Station (Oslo East), 0154 Oslo, Norway",Norway
OSL,60.194965,11.090201,"Oslo Airport, Gardermoen, 2032 Nordre Børke, Norway",Ski,59.7199326,10.8382736,"Ski, Norway",Norway
Oslo S,59.910902,10.750636,"Old Oslo Central Station (Oslo East), 0154 Oslo, Norway",Ski,59.7199326,10.8382736,"Ski, Norway",Norway
Oslo S,59.910902,10.750636,"Old Oslo Central Station (Oslo East), 0154 Oslo, Norway",Kongsvinger,60.1899109,12.21603674554007,"Kongsvinger, Norway",Norway
Oslo S,59.910902,10.750636,"Old Oslo Central Station (Oslo East), 0154 Oslo, Norway",Halden,59.0680555,11.53719102751631,"Halden, Norway",Norway
Ski,59.7199326,10.8382736,"Ski, Norway",Halden,59.0680555,11.53719102751631,"Halden, Norway",Norway
GDN,54.3762064,18.474455102751115,"Gdansk Lech Walesa Airport, Juliusza Słowackiego 200, 80-298 Gdańsk, Poland",Gdansk Port Lotniczy,54.3827282,18.4665403,"Gdańsk Port Lotniczy, Juliusza Słowackiego, 80-298 Gdańsk, Poland",Poland
GDN,54.3762064,18.474455102751115,"Gdansk Lech Walesa Airport, Juliusza Słowackiego 200, 80-298 Gdańsk, Poland",Gdansk Osowa,54.4223889,18.4528085,"Gdańsk Osowa, Letniskowa, 80-299 Gdańsk, Poland",Poland
WAW,52.16306505,20.970814903702912,"Warsaw Chopin Airport, Żwirki i Wigury, 00-001 Warsaw, Poland",Warszawa Centralna,52.2288207,21.00316,"Warsaw Central, Aleje Jerozolimskie 54, 00-024 Warsaw, Poland",Poland
WAW,52.16306505,20.970814903702912,"Warsaw Chopin Airport, Żwirki i Wigury, 00-001 Warsaw, Poland",Warszawa Zachodnia,52.21987555,20.96836629249472,"Podstacja trakcyjna ""Warszawa Zachodnia Południowa"", Podstacja trakcyjna ""Warszawa Zachodnia Południowa, 02-354 Warsaw, Poland",Poland
KRK,50.0782553,19.78625376760332,"John Paul II International Airport Kraków-Balice, Kapitana Mieczysława Medweckiego 1, 32-083 Balice, Poland",Krakow Glowny,50.0686663,19.947802,"Krakow Main Station, Świętego Rafała Kalinowskiego, 31-154 Krakow, Poland",Poland
POZ,52.42056395,16.83179248052985,"Poznań-Ławica Airport, Startowa, 60-412 Poznan, Poland",Poznan Glowny,52.41143,16.915722,"Podstacja trakcyjna ""Poznań, 61-704 Poznan, Poland",Poland
